skola	NM	nazov	mesto	ulica	N	N_ZZ	N_SZP	N_C	znamka	uspes	ptil_skol	N_úspM	dlzka_studia	interní N	interní PÚ	externí N	externí PÚ	GYM_4 N	GYM_4 PÚ	GYM_8 N	GYM_8 PÚ
611,001	168	Gymnázium	Bratislava	Bilíkova 24	27	0	0	0	2.4	90	99.2	27	4/5/2008	27	90	—	—	2	81.7	6	84.4
611,002	115	Gymnázium	Bratislava	Grösslingová 18	70	7	0	0	1.7	70.2	83.6	70	4/8	70	70.2	—	—	51	66.9	19	79.3
611,003	38	Základná škola a Gymnázium s VJM	Bratislava	Dunajská 13	13	0	0	0	2.2	45.4	—	12	4	13	45.4	—	—	13	45.4	—	—
611,004	44	Gymnázium	Bratislava	Hubeného 23	14	0	0	0	1.6	66.2	—	14	4/8	14	66.2	—	—	4	54.2	10	71
611,005	57	Gymnázium I. Horvátha	Bratislava	I. Horvátha 14	16	1	0	0	2.3	48.3	18.9	12	4	16	48.3	—	—	16	48.3	—	—
611,006	124	Gymnázium	Bratislava	Ladislava Sáru 1	18	0	0	0	2.2	58	36.1	17	4/5/2008	18	58	—	—	13	61.8	5	48
611,007	81	Gymnázium A. Einsteina	Bratislava	Einsteinova 35	14	0	0	0	2.1	48.3	—	12	4/5	14	48.3	—	—	11	47.9	—	—
611,008	189	Gymnázium	Bratislava	Metodova 2	35	3	0	0	2.5	69	79.5	35	4/5/2008	35	69	—	—	27	65.4	8	81.3
611,009	177	Spojená škola - Gymnázium J. Hronca	Bratislava	Novohradská 3	115	2	0	0	1.5	73.7	93.4	115	4/5/2008	115	73.7	—	—	47	70.9	42	77.3
611,010	84	Gymnázium L. Novomeského	Bratislava	Tomášikova 2	33	0	0	0	2.1	65.2	60.7	33	4/8	33	65.2	—	—	21	64.8	12	65.8
611,011	106	Gymnázium Jána Papánka	Bratislava	Vazovova 6	27	2	0	0	2.3	65.6	64.8	26	4/8	27	65.6	—	—	14	60.7	13	70.8
611,012	53	Športové gymnázium	Bratislava	Ostredková 10	7	0	0	0	2.3	45.7	—	5	4/8	7	45.7	—	—	5	43.3	2	51.7
611,013	6	Gymnázium pre žiakov s TP	Bratislava	Mokrohájska 3	1	—	—	—	—	—	—	—	4	1	—	—	—	—	—	—	—
611,014	103	Gymnázium F. Garcíu Lorcu	Bratislava	Hronská 3	8	1	0	0	2	56.7	—	8	4/5	8	56.7	—	—	7	60	—	—
611,015	48	1. súkromné gymnázium	Bratislava	Bajkalská 20	23	0	0	0	1.5	73.2	92.6	23	4/8	23	73.2	—	—	11	71.2	12	75
611,016	46	Evanjelické lýceum	Bratislava	Vranovská 2	6	0	0	0	2.2	60	—	6	5	6	60	—	—	—	—	—	—
611,017	80	Gymnázium Matky Alexie	Bratislava	Jesenského 4/A	29	0	0	0	1.2	65.2	61.5	27	4/8	29	65.2	—	—	17	62.7	12	68.6
611,018	25	Súkromné gymnázium Mercury	Bratislava	Zadunajská cesta 27	3	0	0	0	1.7	47.8	—	2	5/8	3	47.8	—	—	—	—	3	47.8
611,019	71	Gymnázium	Bratislava	Pankúchova 6	11	0	0	0	—	80	—	11	5/8	11	80	—	—	—	—	9	83.7
611,022	149	Súkromné gymnázium	Bratislava	Kremnická 26	14	0	0	0	3.2	36.9	—	6	4	1	—	13	37.2	14	36.9	—	—
