skola	nazov	mesto	ulica	N	znamka
611001	Gymnázium	Bratislava	Bilíkova 24	112	1.9
611002	Gymnázium	Bratislava	Grösslingová 18	115	1.6
611004	Gymnázium	Bratislava	Hubeného 23	44	2.4
611005	Gymnázium I. Horvátha	Bratislava	I. Horvátha 14	57	2.6
611006	Gymnázium	Bratislava	Ladislava Sáru 1	124	1.8
611007	Gymnázium A. Einsteina	Bratislava	Einsteinova 35	81	2
611008	Gymnázium	Bratislava	Metodova 2	157	2
611009	Spojená škola - Gymnázium J. Hronca	Bratislava	Novohradská 3	158	1.7
611010	Gymnázium L. Novomeského	Bratislava	Tomášikova 2	84	1.9
611011	Gymnázium Jána Papánka	Bratislava	Vazovova 6	106	2.3
611012	Športové gymnázium	Bratislava	Ostredková 10	53	2.9
611013	Gymnázium pre žiakov s TP	Bratislava	Mokrohájska 3	6	2.7
611014	Gymnázium F. Garcíu Lorcu	Bratislava	Hronská 3	67	2.7
611015	1. súkromné gymnázium	Bratislava	Bajkalská 20	48	1.9
611016	Evanjelické lýceum	Bratislava	Vranovská 2	46	1.9
611017	Gymnázium Matky Alexie	Bratislava	Jesenského 4/A	80	1.7
611018	Súkromné gymnázium Mercury	Bratislava	Zadunajská cesta 27	25	2.2
611019	Gymnázium	Bratislava	Pankúchova 6	71	2.1
611022	Súkromné gymnázium	Bratislava	Kremnická 26	149	3.7
611023	Súkromné gymnázium	Bratislava	Vážska 32	52	2.7
611025	Gymnázium sv. Uršule	Bratislava	Nedbalova 6	41	1
611026	Spojená škola sv. Rodiny - Gymnázium	Bratislava	Gercenova 10	13	3.2
611029	Súkromné športové gymnázium Gaudeamus	Bratislava	Dudvážska 6	15	3.7
611030	Spojená škola sv. V. de Paul - Gymnázium	Bratislava	Bachova 4	8	1.6
611031	Spojená škola - Gymnázium	Bratislava	Tilgnerova 14	47	1.8
611033	Spojená škola de La Salle	Bratislava	Čachtická 14	33	2
611040	Gymnázium	Malacky	1. mája 8	79	2.2
611041	Gymnázium sv. F. Assiského	Malacky	Kláštorné námestie 1	29	2.1
611042	Gymnázium Karola Štúra	Modra	Námestie Slobody 5	37	1.8
611043	Gymnázium	Pezinok	Senecká 2	58	1.7
611045	Gymnázium A. Bernoláka	Senec	Lichnerova 69	47	2.5
611047	Bilingválne gymnázium C. S. Lewisa	Bratislava	Haanova 28	53	1.9
611049	Škola pre mimoriadne nadané deti a gymnázium	Bratislava	Teplická 7	23	1.1
611050	Súkromné gymnázium Esprit	Bratislava	Majerníkova 62	8	2
611051	Súkromné gymnázium	Bratislava	Česká 10	31	2.7
611052	Spojená škola sv. Františka z Assisi	Bratislava	Karloveská 32	18	1.9
611055	Súkromné gymnázium Galileo School	Bratislava	Dudvážska 6	23	1.5
611058	Súkromné gymnázium Cambridge International School	Bratislava	Úprkova 3	4	1
611060	Súkromné gymnázium nemecko-slovenské	Bratislava	Palisády 51	4	1
611501	Stredná zdravotnícka škola	Bratislava	Záhradnícka 44	117	2.7
611502	Stredná zdravotnícka škola	Bratislava	Strečnianska 20	32	3.5
612001	Konzervatórium	Bratislava	Tolstého 11	44	1.9
612002	Cirkevné konzervatórium	Bratislava	Beňadická 16	10	1.6
612003	Súkromné konzervatórium ALKANA	Bratislava	Batkova 2	5	2.4
612004	Tanečné konzervatórium E. Jaczovej	Bratislava	Gorazdova 20	11	2
612201	Spojená škola - Stredná odborná škola umeleckopriemyselná	Bratislava	Tokajícka 24	60	3
612401	Škola úžitkového výtvarníctva J. Vydru	Bratislava	Dúbravská cesta č.11	65	3.2
612601	Súkromná SUŠ animovanej tvorby	Bratislava	Vlastenecké námestie 1	45	2.6
612701	Súkromná SUŠ dizajnu	Bratislava	Ivanská cesta 21	22	2.6
612901	Stredná umelecká škola scénického výtvarníctva	Bratislava	Sklenárova 7	76	2.9
613001	Súkromná stredná odborná škola ochrany osôb a majetku	Bratislava	Vranovská 4	36	2.4
613003	Stredná odborná škola	Bratislava	Račianska 105	29	3.6
613004	Stredná odborná škola	Senec	Kysucká 14	9	3.4
613005	Stredná odborná škola	Bratislava	Ivanská 21	40	4
613007	Stredná odborná škola kaderníctva a vizážistiky	Bratislava	Svätoplukova 2	45	3.5
613008	Súkromná stredná odborná škola	Bratislava	Exnárova 20	39	3.6
613012	Súkromná stredná odborná škola - Gastroškola	Bratislava	Bieloruská 1	8	2.6
613015	Súkromná stredná odborná škola HOST	Bratislava	Riazanská 75	26	2.9
613018	Spojená škola - Stredná odborná škola	Ivanka pri Dunaji	SNP 30	67	3.3
613019	Spojená škola - Stredná odborná škola J. A. Gagarina	Bernolákovo	Svätoplukova 38	28	3.4
613022	Stredná odborná škola gastronómie a hotelových služieb	Bratislava	Farského 9	84	3.3
613025	Stredná odborná škola pre žiakov so SP	Bratislava	Koceľova 26	4	3
613027	Stredná odborná škola pre žiakov s TP	Bratislava	Mokrohájska 1	22	3.3
613028	Súkromná športová stredná odborná škola	Bratislava	M. C. Sklodowskej 1	25	3
613029	Súkromná stredná odborná škola	Bratislava	Dudova 4	14	3.7
613201	Stredná priemyselná škola strojnícka	Bratislava	Fajnorovo nábrežie 5	56	2.7
613301	Stredná odborná škola chemická	Bratislava	Vlčie hrdlo 50	50	3.6
613702	Spojená škola - Stredná odborná škola drevárska	Bratislava	Tokajícka 24	11	3.6
613801	Stredná odborná škola polygrafická	Bratislava	Račianska 190	66	3.4
614101	Stredná priemyselná škola stavebná a geodetická	Bratislava	Drieňova 35	72	2.6
614301	Stredná odborná škola masmediálnych a informačných štúdii	Bratislava	Kadnárova 7	58	2.7
614701	Stredná odborná škola informačných technologií	Bratislava	Hlinická 1	47	3.5
615401	Stredná odborná škola záhradnícka G. Čejku	Malinovo	Bratislavská 44	18	3.5
615501	Stredná odborná škola vinársko-ovocinárska	Modra	Kostolná 3	25	3.4
615701	Súkromná stredná odborná škola veterinárna	Bratislava	Pod brehmi 6/A	17	2.4
616001	Súkromná hotelová akadémia HaGMa	Bratislava	Biskupická 21	21	3.1
616004	Hotelová akadémia	Bratislava	Mikovíniho 1	124	3.2
616101	Obchodná akadémia	Bratislava	Račianska 107	54	3.1
616102	Obchodná akadémia I. Karvaša Bratislava	Bratislava	Hrobákova 11	100	2.8
616103	Obchodná akadémia	Bratislava	Dudova 4	51	3.7
616104	Obchodná akadémia	Bratislava	Nevädzova 3	77	2.2
616105	Súkromná obchodná akadémia Profi-Kamo	Bratislava	Dudvážska 6	4	3.3
616106	Spojená škola - Obchodná akadémia pre žiakov s TP	Bratislava	Mokrohájska 3	4	3
616108	Obchodná akadémia	Pezinok	Myslenická 1	50	2.9
616109	Súkromná obchodná akadémia	Bratislava	Kremnická 26	49	3.8
616113	Súkromná obchodná akadémia	Plavecký Štvrtok	č. 351	7	2.4
616301	Stredná odborná škola podnikania	Bratislava	Strečnianska 20	34	3.6
616401	Stredná odborná škola obchodu a služieb S. Jurkoviča	Bratislava	Sklenárova 1	36	3.7
616501	Stredná odborná škola hotelových služieb a obchodu	Bratislava	Na Pántoch 9	71	3.1
617101	Pedagogická a kultúrna akadémia	Modra	Sokolská 6	46	2.5
617201	Pedagogická a sociálna akadémia	Bratislava	Bullova 2	45	2.8
617202	Súkromná pedagogická a sociálna akadémia	Bratislava	Ružová dolina 29	16	2.5
