skola	nazov	mesto	ulica	aj_n	aj_z
611501	Stredná zdravotnícka škola	Bratislava	Záhradnícka 44	90	2.3
611502	Stredná zdravotnícka škola	Bratislava	Strečnianska 20	15	2.5
612001	Konzervatórium	Bratislava	Tolstého 11	23	3.1
612002	Cirkevné konzervatórium	Bratislava	Beňadická 16	8	2.3
612003	Súkromné konzervatórium ALKANA	Bratislava	Batkova 2	5	2.4
612004	Tanečné konzervatórium E. Jaczovej	Bratislava	Gorazdova 20	8	2.5
612201	Spojená škola - Stredná odborná škola umeleckopriemyselná	Bratislava	Tokajícka 24	42	2.9
612401	Škola úžitkového výtvarníctva J. Vydru	Bratislava	Dúbravská cesta č.11	38	3.1
612601	Súkromná SUŠ animovanej tvorby	Bratislava	Vlastenecké námestie 1	39	2.9
612701	Súkromná SUŠ dizajnu	Bratislava	Ivanská cesta 21	8	2.5
612901	Stredná umelecká škola scénického výtvarníctva	Bratislava	Sklenárova 7	54	3.2
613001	Súkromná stredná odborná škola ochrany osôb a majetku	Bratislava	Vranovská 4	36	2.6
613003	Stredná odborná škola	Bratislava	Račianska 105	19	2.9
613004	Stredná odborná škola	Senec	Kysucká 14	8	4.1
613005	Stredná odborná škola	Bratislava	Ivanská 21	33	3.3
613007	Stredná odborná škola kaderníctva a vizážistiky	Bratislava	Svätoplukova 2	37	2.9
613008	Súkromná stredná odborná škola	Bratislava	Exnárova 20	29	2.7
613012	Súkromná stredná odborná škola - Gastroškola	Bratislava	Bieloruská 1	5	2.4
613015	Súkromná stredná odborná škola HOST	Bratislava	Riazanská 75	14	3.8
613018	Spojená škola - Stredná odborná škola	Ivanka pri Dunaji	SNP 30	44	3.6
613019	Spojená škola - Stredná odborná škola J. A. Gagarina	Bernolákovo	Svätoplukova 38	23	2.6
613022	Stredná odborná škola gastronómie a hotelových služieb	Bratislava	Farského 9	53	3.1
613027	Stredná odborná škola pre žiakov s TP	Bratislava	Mokrohájska 1	11	3.4
613028	Súkromná športová stredná odborná škola	Bratislava	M. C. Sklodowskej 1	23	2.5
613029	Súkromná stredná odborná škola	Bratislava	Dudova 4	9	3.8
613201	Stredná priemyselná škola strojnícka	Bratislava	Fajnorovo nábrežie 5	37	2.7
613301	Stredná odborná škola chemická	Bratislava	Vlčie hrdlo 50	23	2.7
613702	Spojená škola - Stredná odborná škola drevárska	Bratislava	Tokajícka 24	6	2.8
613801	Stredná odborná škola polygrafická	Bratislava	Račianska 190	46	3.6
614101	Stredná priemyselná škola stavebná a geodetická	Bratislava	Drieňova 35	58	2.3
614301	Stredná odborná škola masmediálnych a informačných štúdii	Bratislava	Kadnárova 7	32	2.6
614701	Stredná odborná škola informačných technologií	Bratislava	Hlinická 1	40	2.3
615401	Stredná odborná škola záhradnícka G. Čejku	Malinovo	Bratislavská 44	10	3.1
615501	Stredná odborná škola vinársko-ovocinárska	Modra	Kostolná 3	13	2.8
615701	Súkromná stredná odborná škola veterinárna	Bratislava	Pod brehmi 6/A	12	2
616001	Súkromná hotelová akadémia HaGMa	Bratislava	Biskupická 21	17	2.9
616004	Hotelová akadémia	Bratislava	Mikovíniho 1	92	2.8
616101	Obchodná akadémia	Bratislava	Račianska 107	49	3.1
616102	Obchodná akadémia I. Karvaša Bratislava	Bratislava	Hrobákova 11	28	3.3
616103	Obchodná akadémia	Bratislava	Dudova 4	40	3.5
616104	Obchodná akadémia	Bratislava	Nevädzova 3	61	2.8
616105	Súkromná obchodná akadémia Profi-Kamo	Bratislava	Dudvážska 6	3	2
616106	Spojená škola - Obchodná akadémia pre žiakov s TP	Bratislava	Mokrohájska 3	3	4
616108	Obchodná akadémia	Pezinok	Myslenická 1	43	2.9
616109	Súkromná obchodná akadémia	Bratislava	Kremnická 26	41	3.2
616113	Súkromná obchodná akadémia	Plavecký Štvrtok	č. 351	7	2.9
616301	Stredná odborná škola podnikania	Bratislava	Strečnianska 20	26	3.2
616302	Spojená škola - Stredná odborná škola podnikania	Senec	Lichnerova 71	13	2.8
616401	Stredná odborná škola obchodu a služieb S. Jurkoviča	Bratislava	Sklenárova 1	30	3.4
616501	Stredná odborná škola hotelových služieb a obchodu	Bratislava	Na Pántoch 9	45	3.6
617101	Pedagogická a kultúrna akadémia	Modra	Sokolská 6	42	2.5
617201	Pedagogická a sociálna akadémia	Bratislava	Bullova 2	34	2.9
617202	Súkromná pedagogická a sociálna akadémia	Bratislava	Ružová dolina 29	13	2.3
618301	Stredná odborná škola elektrotechnická	Bratislava	Rybničná 59	32	2.5
618302	CSOŠE P. G. Frassatiho	Bratislava	Vazovova 12	33	2.8
618303	Stredná priemyselná škola elektrotechnická	Bratislava	Zochova 9	47	3
618304	Stredná priemyselná škola elektrotechnická	Bratislava	K. Adlera 5	47	3.2
618305	Stredná priemyselná škola elektrotechnická	Bratislava	Hálova 16	58	3.4
618401	Stredná odborná škola dopravná	Bratislava	Kvačalova 20	24	2.9
618402	Stredná priemyselná škola dopravná	Bratislava	Kvačalova 20	44	3.3
618801	Súkromná stredná odborná škola automobilová Duálna akadémia	Bratislava	Jána Jonáša 5	15	2.9
621501	Stredná zdravotnícka škola - Egészségügyi Középiskola	Dunajská Streda	Športová 349/34	27	3
621502	Stredná zdravotnícka škola	Skalica	Lichardova 1	24	2.7
621503	Stredná zdravotnícka škola	Trnava	Daxnerova 6	79	2.6
623001	Stredná odborná škola Jozefa Čabelku	Holíč	Bernolákova 383/10	38	2.8
623002	Súkromná stredná odborná škola Via Humana	Skalica	Mallého 2	45	2.7
623003	Súkromná stredná odborná škola - Magán Szakközépiskola	Sládkovičovo	Fučíkova 426	26	2.7
623005	Stredná odborná škola s VJM - Szakközépiskola	Dunajská Streda	Gyulu Szabóa 21	48	3.3
623006	Stredná odborná škola	Rakovice	Hlavná 25	19	2.6
623007	Súkromná stredná odborná škola SD Jednota	Šamorín	Vinohradská 48	15	3.1
623008	Súkromná stredná odborná škola s VJM - Magyar Tannyelvű Magán Szakközépiskola	Dunajská Streda	Neratovické námestie 1916/16	49	2.8
623009	Súkromná stredná odborná škola	Zlaté Klasy	Trhovisko 776/1	7	3.4
623010	Súkromná stredná odborná škola s VJM	Mostová	Orechová 53	60	2.9
623012	Stredná odborná škola	Senica	V. Paulínyho Tótha 31/5	14	3.2
623013	Súkromná stredná odborná škola Gos-Sk	Trnava	Ferka Urbánka 19	60	3
623014	Stredná odborná škola	Holíč	Námestie sv. Martina 5	66	3.2
623015	Stredná odborná škola	Hlohovec	Nerudová 13	48	2.8
623201	Stredná odborná škola strojnícka	Skalica	pplk. Pľjušťa 29	29	3.7
624001	Stredná priemyselná škola stavebná D. S. Jurkoviča	Trnava	Lomonosovova 7	57	2.5
624002	Stredná odborná škola stavebná s VJM	Dunajská Streda	Gyulu Szabóa 1	10	3
624501	Stredná priemyselná škola	Trnava	Komenského 1	109	3
625001	Stredná odborná škola rozvoja vidieka s VJM	Dunajská Streda	Námestie sv. Štefana 1533/3	56	3.1
625101	Stredná odborná škola poľnohospodárstva a služieb na vidieku	Trnava	Zavarská 9	24	3.1
625401	Stredná odborná škola záhradnícka	Piešťany	Brezová 2	8	3.5
626001	Hotelová akadémia Ľudovíta Wintera	Piešťany	Stromová 34	59	3
626002	Súkromná hotelová akadémia SD Jednota	Šamorín	Vinohradská 48	28	3.6
626101	Obchodná akadémia - Kereskedelmi Akadémia	Veľký Meder	Bratislavská 38	41	2.9
626102	Obchodná akadémia	Sereď	Mládežnícka 158/5	23	2.9
626103	Obchodná akadémia	Hlohovec	Tehelná 4	27	2.5
626104	Obchodná akadémia	Senica	Dlhá 256	64	2.9
626105	Obchodná akadémia	Trnava	Kukučínova 2	36	2.6
626301	Súkromná stredná odborná škola podnikania	Senica	Hollého 1380/34	59	2.8
626401	Stredná odborná škola obchodu a služieb	Galanta	Z. Kodálya 765	33	2.5
626402	Stredná odborná škola obchodu a služieb	Piešťany	Mojmírova 99/28	50	3.5
626403	Stredná odborná škola obchodu a služieb	Trnava	Lomonosovova 2797/6	35	3.3
627201	Pedagogická a sociálna akadémia bl. Laury	Trnava	Kalinčiakova 24	67	3.4
628101	Stredná odborná škola technická - Müszaki Szakközépiskola	Dunajská Streda	Kračanská 1240/36	21	3
628102	Stredná odborná škola technická	Hlohovec	F. Lipku 2422/5	21	4
628103	Stredná odborná škola technická	Piešťany	Nová 5245/9	21	3.8
628104	Stredná odborná škola technická - Műszaki Szakközépiskola	Galanta	Esterházyovcov 712/10	36	3.4
628201	Súkromná stredná odborná škola polytechnická DSA	Trnava	Koniarekova 17	10	3.1
628301	Stredná priemyselná škola elektrotechnická	Piešťany	Brezová 2	92	2.8
628304	Stredná odborná škola elektrotechnická	Gbely	Učňovská 700/6	24	3
628305	Stredná odborná škola elektrotechnická	Trnava	Sibírska 1	134	3
628401	Stredná priemyselná škola dopravná	Trnava	Študentská 23	88	3
628801	Stredná odborná škola automobilová	Trnava	Coburgova 7859/39	28	3.3
631501	Stredná zdravotnícka škola	Považská Bystrica	Školská 230	41	2.5
631502	Stredná zdravotnícka škola Celestíny Šimurkovej	Trenčín	Veľkomoravská 14	86	2.3
632501	Stredná umelecká škola	Trenčín	Staničná 8	76	2.8
633001	Stredná odborná škola strojnícka	Bánovce nad Bebravou	Partizánska cesta 76	94	3.4
633003	Stredná odborná škola	Pruské	č. 294	20	2.7
633004	Stredná odborná škola	Dubnica nad Váhom	Bratislavská 439/18	65	2.9
633009	Stredná odborná škola	Stará Turá	Športová 675/1	62	2.7
633011	Stredná odborná škola	Partizánske	Námestie SNP 5	78	2.9
633012	Stredná odborná škola	Považská Bystrica	Slovenských partizánov 1129/49	25	4
633013	Súkromná stredná odborná škola	Prievidza	S. Chalupku 1938/12B	19	3.6
633014	Stredná odborná škola	Prievidza	T. Vansovej 32	72	2.7
633015	Stredná odborná škola	Handlová	Lipová 8	68	3.3
633016	Spojená škola - Stredná odborná škola	Nováky	Rastislavova 332	63	2.7
633018	Stredná odborná škola	Púchov	I. Krasku 491	52	3
633020	Súkromná stredná odborná škola	Trenčín	M. R. Štefánika 379/19	23	3.3
633021	Stredná odborná škola	Trenčín	Pod Sokolicami 14	36	2.9
633022	Piaristická spojená škola F. Hanáka - Stredná odborná škola	Prievidza	A. Hlinku 44	16	3.3
633201	Stredná odborná škola strojnícka	Považská Bystrica	Športovcov 341/2	107	2.7
634001	Stredná odborná škola stavebná Emila Belluša	Trenčín	Staničná 4	51	2.5
634220	Stredná odborná škola sklárska	Lednické Rovne	Súhradka 193	3	2.7
634501	Stredná priemyselná škola	Dubnica nad Váhom	Obr. mieru 343/1	107	3.1
634502	Stredná priemyselná škola	Myjava	Ul. SNP 413/8	78	3
634504	Stredná priemyselná škola	Považská Bystrica	Slovenských partizánov 1132/52	60	2.6
634505	Stredná priemyselná škola	Nové Mesto nad Váhom	Bzinská 11	60	2.7
636002	Súkromná hotelová akadémia	Považská Bystrica	M. R. Štefánika 147	2	3.5
636103	Obchodná akadémia	Považská Bystrica	Jesenského 259/6	92	2.4
636104	Súkromná obchodná akadémia	Považská Bystrica	M. R. Štefánika 147	4	3.3
636105	Obchodná akadémia	Prievidza	F. Madvu 2	78	2.7
636106	Obchodná akadémia Milana Hodžu	Trenčín	M. Rázusa 1	90	2.5
636107	Súkromná obchodná akadémia	Prievidza	Bakalárska 2	8	4
636401	Stredná odborná škola obchodu a služieb	Prievidza	J. Kalinčiaka 1	114	2.8
636402	Stredná odborná škola obchodu a služieb	Púchov	1. mája 1264	61	3.2
636403	Stredná odborná škola obchodu a služieb	Trenčín	Jilemnického 24	168	2.9
636404	Stredná odborná škola obchodu a služieb	Nové Mesto nad Váhom	Weisseho 1	53	2.6
637201	Pedagogická a sociálna akadémia sv. Andreja - Svorada	Trenčín	1. mája 7	54	2.1
638001	Dopravná akadémia	Trenčín	Školská 66	42	2.9
638601	Stredná odborná škola letecko - technická	Trenčín	Legionárska 160	46	2.4
641501	Stredná zdravotnícka škola	Nitra	Farská 23	80	1.7
641502	Stredná zdravotnícka škola - Egészségügyi Középiskola	Nové Zámky	Pod kalváriou 1	52	2.4
641503	Stredná zdravotnícka škola sv. Vincenta de Paul	Topoľčany	17. novembra 1056	36	3.1
642001	Súkromné konzervatórium Dezidera Kardoša	Topoľčany	Gagarinova 2490/13	14	2.6
642002	Súkromné konzervatórium	Nitra	Krčméryho 2	14	2.4
642401	Súkromná škola úžitkového výtvarníctva	Topoľčany	Gagarinova 2490/13	8	1.9
642402	Cirkevná škola úžitkového výtvarníctva sv. Lukáša	Topoľčany	Lipova 3868/10	6	2.3
642501	Súkromná stredná umelecká škola dizajnu	Nitra	Škultétyho 1	23	3
642502	Stredná umelecká škola Ladislava Bielika	Levice	Vajanského 23	35	2.5
643001	Súkromná stredná odborná škola pedagogická	Topoľčany	Tovarnícka 1641	25	2.5
643002	Súkromná stredná odborná škola ANIMUS	Nitra	Levická cesta 40	44	2.3
643003	Súkromná stredná odborná škola s VJM	Dolné Obdokovce	č. 71	11	2.2
643008	Stredná odborná škola	Nitra	Cintorínska 4	54	3.3
643009	Stredná odborná škola dopravy a služieb	Nové Zámky	Jesenského 1	60	3.3
643011	Stredná odborná škola - Szakközépiskola	Dvory nad Žitavou	Hlavné námestie 2	8	2.9
643012	Stredná odborná škola techniky a služieb	Topoľčany	Tovarnícka 1609	47	3.1
643014	Stredná odborná škola agrotechnická	Topoľčany	Tovarnícka 1632	35	2.9
643015	Stredná odborná škola techniky, služieb a obchodu - Műszaki, Szolgáltatások és Kereskedelmi Szakközépiskola	Štúrovo	Sv. Štefana 81	12	3.2
643016	Stredná odborná škola služieb	Levice	Ul. sv. Michala 36	38	2.4
643017	Stredná odborná škola - Szakközépiskola	Kravany nad Dunajom	Dunajský rad 138	10	3.5
643018	Súkromná stredná odborná škola s VJM	Bátorove Kosihy	Hlavné námestie 35	21	1.8
643019	Súkromná stredná odborná škola s VJM	Kolárovo	Slovenská 52	38	3.6
643020	Stredná odborná škola - Szakközépiskola	Šahy	SNP 41	13	2.9
643022	Stredná odborná škola gastronómie a služieb	Šurany	Hviezdoslavova 55	26	2.3
643023	Stredná odborná škola technická - Műszaki Szakközépiskola	Komárno	Bratislavská 10	71	3
643024	Stredná odborná škola	Kalná nad Hronom	Ul. mieru 23	16	3.1
643025	Stredná odborná škola	Levice	Pod amfiteátrom 7	20	2.7
643029	Súkromná spojená škola - Súkromná stredná odborná škola - Magán Szakközépiskola	Štúrovo	Sv. Štefana 36	13	3.3
643031	Stredná odborná škola stavebná	Nitra	Nábrežie mládeže 1	13	3.4
643032	Stredná odborná škola gastronómie a cestovného ruchu	Nitra	Levická 40	70	2.9
643034	Stredná odborná škola stavebná	Nové Zámky	Nitrianska cesta 61	32	2.8
643039	Stredná odborná škola techniky a mechanizácie – Műszaki és Gépesítési Szakközépiskola	Hurbanovo	Ul. 1. mája 1	13	3
643040	Stredná odborná škola - Szakközépiskola	Šaľa	Štúrova 74	8	2.8
643401	Stredná odborná škola potravinárska	Nitra	Cabajská 6	60	3.3
643402	Stredná odborná škola potravinárska	Topoľčany	Krušovská 2091	14	3.4
643701	Stredná odborná škola drevárska	Topoľčany	Pílska 7	37	3.2
644001	Stredná priemyselná škola stavebná - Építőipari Szakközépiskola	Hurbanovo	Konkolyho 8	36	2.4
644002	Stredná priemyselná škola stavebná	Nitra	Cabajská 4	98	2.6
644501	Stredná priemyselná škola	Komárno	Petöfiho 2	96	2.5
644502	Stredná priemyselná škola	Levice	Fr. Hečku 25	42	3.1
644503	Stredná priemyselná škola strojnícka a elektrotechnická	Nitra	Fr. Kráľa 20	78	2.7
644504	Spojená škola - Stredná priemyselná škola	Šaľa	Nivy 2	20	3.3
644601	Spojená škola - Stredná priemyselná škola potravinárska	Nitra	Slančíkovej 2	32	3
645101	Stredná odborná škola poľnohospodárstva a služieb na vidieku	Levice	Na lúkach 18	22	3.3
645701	Stredná odborná škola veterinárna	Nitra	Drážovská 14	91	2.5
646001	Spojená škola - Hotelová akadémia	Nitra	Slančíkovej 2	75	2.4
646101	Obchodná akadémia	Levice	Ul. Kálmána Kittenbergera 2	48	2.6
646102	Obchodná akadémia	Nitra	Bolečkova 2	96	3
646103	Súkromná spojená škola - Súkromná obchodná akadémia - Kereskedelmi Magánakadémia	Štúrovo	Sv. Štefana 36	6	3.7
646104	Obchodná akadémia	Šurany	Námestie hrdinov 7	31	2.7
646105	Obchodná akadémia	Topoľčany	Inovecká 2041	53	2.4
646106	Obchodná akadémia	Zlaté Moravce	Bernolákova 26	27	2.5
646107	Spojená škola - Obchodná akadémia	Nové Zámky	Komárňanská 28	11	3.3
646108	Spojená škola - Obchodná akadémia	Šaľa	Nivy 2	13	2.4
646402	Stredná odborná škola obchodu a služieb	Topoľčany	T. Vansovej 2	37	3.2
646403	Stredná odborná škola obchodu a služieb	Zlaté Moravce	SNP 5	31	2.7
646404	Stredná odborná škola obchodu a služieb - Kereskedelmi és Szolgáltatóipari Szakközépiskola	Komárno	Budovateľská 32	51	3
646501	Stredná odborná škola hotelových služieb a obchodu	Nové Zámky	Zdravotnícka 3	107	3.1
647201	Stredná odborná škola pedagogická	Levice	Ul. F. Engelsa 3	51	2.5
648101	Stredná odborná škola technická	Tlmače	Kozmálovská cesta 9	25	2.3
648102	Stredná odborná škola technická	Šurany	Nitrianska 61	53	2.9
648103	Stredná odborná škola technická	Zlaté Moravce	Ul. 1. mája 22	31	3
648104	Stredná odborná škola technická	Vráble	Ul. 1. mája 500	19	3.1
648201	Súkromná stredná odborná škola polytechnická DSA	Nitra	Novozámocká 220	77	3.2
648202	Stredná odborná škola polytechnická	Zlaté Moravce	SNP 2	64	3
648301	Spojená škola - Stredná priemyselná škola elektrotechnická S. A. Jedlika	Nové Zámky	Komárňanská 28	90	3.2
651501	Stredná zdravotnícka škola sv. Františka z Assisi	Čadca	Horná 137	22	3
651502	Stredná zdravotnícka škola	Dolný Kubín	M. Hattalu 2149	37	2.6
651503	Stredná zdravotnícka škola	Liptovský Mikuláš	Vrbická 632	46	2.9
651504	Stredná zdravotnícka škola M. T. Schererovej	Ružomberok	Dončova 7	32	2.1
651505	Stredná zdravotnícka škola	Žilina	Hlboká cesta 23	114	3.2
652001	Konzervatórium	Žilina	J. M. Hurbana 48	26	2.4
652002	Súkromná spojená škola - Súkromné hudobné a dramatické konzervatórium	Martin	J. Lettricha 3	12	2.7
652401	Škola úžitkového výtvarníctva	Ružomberok	Scota Viatora 6	46	2.8
652501	Súkromná spojená škola - Súkromná stredná umelecká škola	Martin	J. Lettricha 3	5	3.2
652503	Súkromná stredná umelecká škola	Žilina	Hálkova 2968/22	54	1.8
653003	Súkromná stredná odborná škola	Dolný Kubín	SNP 1202/14	1	—
653004	Stredná odborná škola	Námestovo	Hattalova 968/33	82	3.1
653007	Stredná odborná škola sv. Jozefa Robotníka	Žilina	Saleziánska 18	34	2.9
653008	Súkromná stredná odborná škola	Žilina	Saleziánska 18	30	2.9
653009	Súkromná stredná odborná škola spoločného stravovania	Žilina	Závodská cesta 2961	11	3.3
653011	Súkromná stredná odborná škola	Bytča	Sidónie Sakalovej č. 182	36	3.3
653201	Stredná odborná škola strojnícka	Kysucké Nové Mesto	Športová 1326	89	2.8
653202	Spojená škola	Martin	Červenej armády 25	82	3.7
653601	Spojená škola	Žilina	Hlavná 2	39	2.7
653701	Stredná odborná škola drevárska a stavebná	Krásno nad Kysucou	č. 1642	47	3.4
653704	Spojená škola - Stredná odborná škola drevárska	Žilina	Rosinská cesta 4	27	3.1
654001	Stredná odborná škola stavebná	Liptovský Mikuláš	Školská 8	20	2.5
654002	Stredná odborná škola stavebná	Žilina	Tulipánová 2	92	2.7
654003	Stredná priemyselná škola stavebná	Žilina	Veľká Okružná 25	144	2.7
654501	Spojená škola	Kysucké Nové Mesto	Nábrežná 1325	150	2.9
654502	Stredná priemyselná škola	Martin	Novomeského 5/24	69	2.9
654503	Spojená škola - Stredná priemyselná škola a Obchodná akadémia	Tvrdošín	Sídl. Medvedzie I. 133/1	110	2.6
655101	Stredná odborná škola poľnohospodárstva a služieb na vidieku	Žilina	Predmestská 82	73	3.1
